,player_id,faceOffWins,faceoffTaken,actual_win_pct,sim_win_pct_mean_weighted
0,8445000,258,474,0.5443037974683544,0.5010632911392405
1,8445550,5,13,0.38461538461538464,0.4964615384615385
2,8445575,1,6,0.16666666666666666,0.494
3,8445735,4739,7989,0.5931906371260484,0.500134059331581
4,8445739,0,2,0.0,0.4915
5,8446003,157,315,0.4984126984126984,0.5012730158730159
6,8446053,1,5,0.2,0.4948
7,8446407,1,1,1.0,0.5
8,8446408,19,40,0.475,0.49610000000000004
9,8446454,2,5,0.4,0.49539999999999995
10,8446485,2895,5012,0.5776137270550679,0.4997198723064646
11,8446788,1936,3595,0.5385257301808066,0.4994862308762169
12,8446830,55,123,0.44715447154471544,0.4965040650406504
13,8447091,32,73,0.4383561643835616,0.49627397260273964
14,8447958,2768,4820,0.5742738589211618,0.49991742738589207
15,8448208,5,24,0.20833333333333334,0.49641666666666673
16,8448622,6,13,0.46153846153846156,0.5024615384615385
17,8448769,0,1,0.0,0.526
18,8448772,3,14,0.21428571428571427,0.5022142857142856
19,8448782,253,457,0.5536105032822757,0.5003522975929978
20,8448825,596,1195,0.49874476987447697,0.5004033472803348
21,8449137,0,1,0.0,0.484
22,8449545,32,72,0.4444444444444444,0.5019583333333334
23,8449645,2951,5790,0.5096718480138169,0.4999526770293611
24,8449654,2,5,0.4,0.5096
25,8449807,632,1229,0.5142392188771359,0.5000431244914565
26,8449893,838,1431,0.5856044723969253,0.5001020265548567
27,8449895,565,1135,0.4977973568281938,0.49950132158590305
28,8449924,1,1,1.0,0.512
29,8450550,95,174,0.5459770114942529,0.4983735632183908
30,8450725,376,814,0.4619164619164619,0.4999398034398034
31,8450817,588,1196,0.4916387959866221,0.4996747491638796
32,8450900,31,59,0.5254237288135594,0.5040508474576271
33,8450941,4,13,0.3076923076923077,0.4984615384615384
34,8450978,763,1551,0.49194068343004516,0.5002759509993553
35,8451101,2015,3839,0.5248762698619432,0.500382651732222
36,8451224,1,4,0.25,0.50475
37,8451302,166,342,0.4853801169590643,0.4994941520467836
38,8451359,2401,4196,0.5722116301239275,0.5001141563393708
39,8451774,3106,5661,0.5486663133721957,0.4999655537890832
40,8451972,112,213,0.5258215962441315,0.5015305164319248
41,8451991,302,634,0.47634069400630913,0.5007255520504732
42,8452285,958,2040,0.4696078431372549,0.5000642156862746
43,8452353,0,1,0.0,0.513
44,8452569,0,6,0.0,0.49566666666666664
45,8452578,239,414,0.5772946859903382,0.4993478260869565
46,8455429,27,84,0.32142857142857145,0.5003452380952381
47,8455521,1025,2010,0.5099502487562189,0.49970547263681586
48,8455666,1,2,0.5,0.492
49,8455805,2,3,0.6666666666666666,0.502
50,8455919,3378,6535,0.5169089517980107,0.49984728385615923
51,8456100,818,1564,0.5230179028132992,0.4996234015345269
52,8456106,192,394,0.4873096446700508,0.5001370558375634
53,8456430,635,1173,0.5413469735720375,0.4995728900255755
54,8456464,70,138,0.5072463768115942,0.49922463768115943
55,8456588,0,1,0.0,0.508
56,8456734,558,1016,0.5492125984251969,0.5003120078740158
57,8456852,3,4,0.75,0.49524999999999997
58,8456887,319,734,0.43460490463215257,0.5000395095367847
59,8456966,2177,4292,0.5072227399813607,0.49974790307548933
60,8457261,3,14,0.21428571428571427,0.49971428571428567
61,8457297,9,21,0.42857142857142855,0.4987619047619047
62,8457384,1,2,0.5,0.4995
63,8457403,0,2,0.0,0.4815
64,8457421,0,1,0.0,0.515
65,8457921,263,546,0.4816849816849817,0.49917399267399276
66,8457981,870,1829,0.4756697648988518,0.4994909786768726
67,8458031,31,62,0.5,0.4970967741935484
68,8458069,1510,2989,0.5051856808297089,0.5000993643358984
69,8458125,1,9,0.1111111111111111,0.5028888888888889
70,8458172,0,2,0.0,0.486
71,8458192,753,1413,0.5329087048832272,0.4999058740268931
72,8458229,2058,4007,0.5136011979036685,0.49976091839281256
73,8458361,1647,3474,0.4740932642487047,0.4996007484168107
74,8458454,0,1,0.0,0.499
75,8458487,138,282,0.48936170212765956,0.501886524822695
76,8458494,1,1,1.0,0.497
77,8458515,387,721,0.536754507628294,0.49914285714285717
78,8458517,3,10,0.3,0.5005
79,8458519,0,1,0.0,0.505
80,8458520,958,1902,0.5036803364879074,0.5003007360672976
81,8458524,389,718,0.541782729805014,0.4995529247910864
82,8458525,598,1332,0.44894894894894893,0.5001816816816818
83,8458526,55,113,0.48672566371681414,0.4988407079646017
84,8458527,1,2,0.5,0.48050000000000004
85,8458529,151,333,0.45345345345345345,0.49957057057057075
86,8458530,6,16,0.375,0.5064375
87,8458532,20,52,0.38461538461538464,0.49773076923076925
88,8458534,25,71,0.352112676056338,0.5011830985915492
89,8458536,1043,2324,0.44879518072289154,0.4999823580034424
90,8458537,95,241,0.3941908713692946,0.4987510373443984
91,8458540,2,4,0.5,0.5065
92,8458541,3,3,1.0,0.49733333333333335
93,8458543,1,1,1.0,0.474
94,8458554,1277,2545,0.5017681728880157,0.5003371316306484
95,8458561,1359,2162,0.6285846438482886,0.5002284921369103
96,8458572,10,35,0.2857142857142857,0.5063428571428571
97,8458573,1586,3364,0.4714625445897741,0.5000915576694411
98,8458590,131,374,0.3502673796791444,0.4996122994652406
99,8458595,1,2,0.5,0.499
100,8458637,2,5,0.4,0.5065999999999999
101,8458682,11,30,0.36666666666666664,0.5000666666666667
102,8458715,2,2,1.0,0.4965
103,8458939,802,1643,0.4881314668289714,0.5004522215459526
104,8458943,58,131,0.44274809160305345,0.5023129770992366
105,8458951,1,1,1.0,0.48
106,8458954,1,3,0.3333333333333333,0.506
