,season,player_id,faceoffTaken
229,20002001,8457566,2
230,20002001,8457646,99
231,20002001,8457661,0
232,20002001,8457681,0
233,20002001,8457686,177
234,20002001,8457704,69
235,20002001,8457706,1
236,20002001,8457783,2
237,20002001,8457805,0
238,20002001,8457921,726
239,20002001,8457981,8
240,20002001,8458031,3
241,20002001,8458036,1
242,20002001,8458052,1
243,20002001,8458058,0
244,20002001,8458069,952
245,20002001,8458125,0
246,20002001,8458126,9
247,20002001,8458155,797
248,20002001,8458172,1
249,20002001,8458179,1
250,20002001,8458185,138
251,20002001,8458192,292
252,20002001,8458202,0
253,20002001,8458208,0
254,20002001,8458229,733
255,20002001,8458347,108
256,20002001,8458348,0
257,20002001,8458361,1514
258,20002001,8458373,0
259,20002001,8458385,1038
260,20002001,8458454,0
261,20002001,8458468,0
262,20002001,8458477,162
263,20002001,8458483,1
264,20002001,8458487,1486
265,20002001,8458494,0
266,20002001,8458517,5
267,20002001,8458518,0
268,20002001,8458519,0
269,20002001,8458520,755
270,20002001,8458522,1
271,20002001,8458523,11
272,20002001,8458524,461
273,20002001,8458525,666
274,20002001,8458526,999
275,20002001,8458527,0
276,20002001,8458529,255
277,20002001,8458530,6
278,20002001,8458532,7
279,20002001,8458534,5
280,20002001,8458536,88
281,20002001,8458537,57
282,20002001,8458538,24
283,20002001,8458540,5
284,20002001,8458541,1
285,20002001,8458542,14
286,20002001,8458543,0
287,20002001,8458544,0
288,20002001,8458546,0
289,20002001,8458554,1278
290,20002001,8458557,1214
291,20002001,8458560,0
292,20002001,8458561,1055
293,20002001,8458566,4
294,20002001,8458572,91
295,20002001,8458573,1036
296,20002001,8458575,2
297,20002001,8458582,0
298,20002001,8458585,0
299,20002001,8458590,115
300,20002001,8458595,0
301,20002001,8458598,0
302,20002001,8458600,0
303,20002001,8458605,163
304,20002001,8458617,11
305,20002001,8458620,8
306,20002001,8458628,35
307,20002001,8458632,2
308,20002001,8458636,0
309,20002001,8458637,12
310,20002001,8458638,775
311,20002001,8458641,8
312,20002001,8458645,505
313,20002001,8458658,0
314,20002001,8458672,1
315,20002001,8458682,30
316,20002001,8458715,0
317,20002001,8458801,0
318,20002001,8458805,0
319,20002001,8458838,0
320,20002001,8458888,18
321,20002001,8458929,0
322,20002001,8458938,1
323,20002001,8458939,1414
324,20002001,8458940,0
325,20002001,8458941,400
326,20002001,8458942,0
327,20002001,8458943,382
328,20002001,8458946,15
329,20002001,8458947,16
330,20002001,8458948,0
331,20002001,8458949,3
332,20002001,8458950,0
333,20002001,8458951,1
334,20002001,8458954,1
335,20002001,8458955,331
336,20002001,8458956,0
337,20002001,8458959,16
338,20002001,8458962,0
339,20002001,8458963,0
340,20002001,8458964,0
341,20002001,8458969,9
342,20002001,8458972,876
343,20002001,8458974,569
344,20002001,8458978,43
345,20002001,8458982,26
346,20002001,8458983,1214
347,20002001,8458984,2
348,20002001,8458986,0
349,20002001,8458991,427
350,20002001,8458996,0
351,20002001,8459001,14
352,20002001,8459002,0
353,20002001,8459004,0
354,20002001,8459008,1
355,20002001,8459010,584
356,20002001,8459011,0
357,20002001,8459014,1
358,20002001,8459019,16
359,20002001,8459024,7
360,20002001,8459033,0
361,20002001,8459035,0
362,20002001,8459038,0
363,20002001,8459053,0
364,20002001,8459059,1
365,20002001,8459064,30
366,20002001,8459065,0
367,20002001,8459071,694
368,20002001,8459074,0
369,20002001,8459089,1
370,20002001,8459094,297
371,20002001,8459109,2
372,20002001,8459114,13
373,20002001,8459122,736
374,20002001,8459141,1
375,20002001,8459144,2
376,20002001,8459146,193
377,20002001,8459147,20
378,20002001,8459156,80
379,20002001,8459158,4
380,20002001,8459159,678
381,20002001,8459161,0
382,20002001,8459173,0
383,20002001,8459174,1
384,20002001,8459181,0
385,20002001,8459223,7
386,20002001,8459246,6
387,20002001,8459249,0
388,20002001,8459262,0
389,20002001,8459284,289
390,20002001,8459391,2
391,20002001,8459406,0
392,20002001,8459412,207
393,20002001,8459414,15
394,20002001,8459424,0
395,20002001,8459425,1161
396,20002001,8459426,149
397,20002001,8459427,997
398,20002001,8459428,817
399,20002001,8459429,760
400,20002001,8459430,26
401,20002001,8459431,98
402,20002001,8459433,1
403,20002001,8459434,0
404,20002001,8459435,351
405,20002001,8459436,77
406,20002001,8459437,176
407,20002001,8459439,1897
408,20002001,8459441,13
409,20002001,8459442,1092
410,20002001,8459443,1
411,20002001,8459444,84
412,20002001,8459446,1350
413,20002001,8459448,0
414,20002001,8459449,1
415,20002001,8459450,218
416,20002001,8459454,15
417,20002001,8459455,36
418,20002001,8459457,316
419,20002001,8459458,0
420,20002001,8459461,1685
421,20002001,8459462,0
422,20002001,8459466,1
423,20002001,8459469,0
424,20002001,8459472,61
425,20002001,8459474,367
426,20002001,8459478,0
427,20002001,8459479,2
428,20002001,8459482,0
429,20002001,8459484,0
430,20002001,8459486,1
431,20002001,8459487,0
432,20002001,8459492,988
433,20002001,8459493,0
434,20002001,8459494,192
435,20002001,8459499,16
436,20002001,8459514,273
437,20002001,8459515,3
438,20002001,8459519,0
439,20002001,8459521,88
440,20002001,8459522,2
441,20002001,8459527,413
442,20002001,8459534,11
443,20002001,8459538,1
444,20002001,8459543,1
445,20002001,8459545,475
446,20002001,8459547,541
447,20002001,8459550,0
448,20002001,8459557,57
449,20002001,8459562,902
450,20002001,8459563,1
451,20002001,8459568,14
452,20002001,8459569,0
453,20002001,8459571,743
454,20002001,8459574,413
455,20002001,8459576,0
456,20002001,8459587,1549
457,20002001,8459596,11
458,20002001,8459605,0
459,20002001,8459615,0
460,20002001,8459628,0
461,20002001,8459640,36
462,20002001,8459648,8
463,20002001,8459654,20
464,20002001,8459670,2
465,20002001,8459672,226
466,20002001,8459674,0
467,20002001,8459700,0
468,20002001,8459889,10
469,20002001,8459993,48
470,20002001,8459996,0
471,20002001,8460007,0
472,20002001,8460012,9
473,20002001,8460014,0
474,20002001,8460015,2
475,20002001,8460044,0
476,20002001,8460051,0
477,20002001,8460054,9
478,20002001,8460061,731
479,20002001,8460087,1
480,20002001,8460105,1506
481,20002001,8460239,1
482,20002001,8460254,0
483,20002001,8460465,15
484,20002001,8460482,859
485,20002001,8460484,486
486,20002001,8460492,0
487,20002001,8460493,0
488,20002001,8460495,726
489,20002001,8460496,17
490,20002001,8460498,599
491,20002001,8460500,2
492,20002001,8460501,50
493,20002001,8460502,0
494,20002001,8460503,0
495,20002001,8460504,2
496,20002001,8460507,948
497,20002001,8460508,0
498,20002001,8460509,0
499,20002001,8460513,0
500,20002001,8460517,0
501,20002001,8460520,0
502,20002001,8460521,1
503,20002001,8460523,2
504,20002001,8460524,1
505,20002001,8460526,196
506,20002001,8460527,951
507,20002001,8460531,1
508,20002001,8460533,1322
509,20002001,8460534,1159
510,20002001,8460539,0
511,20002001,8460540,0
512,20002001,8460542,155
513,20002001,8460548,0
514,20002001,8460550,1
515,20002001,8460551,29
516,20002001,8460555,0
517,20002001,8460556,21
518,20002001,8460561,0
519,20002001,8460562,552
520,20002001,8460563,0
521,20002001,8460567,3
522,20002001,8460573,24
523,20002001,8460577,3
524,20002001,8460579,2
525,20002001,8460580,1
526,20002001,8460582,2
527,20002001,8460587,1
528,20002001,8460588,1
529,20002001,8460594,0
530,20002001,8460595,16
531,20002001,8460601,1
532,20002001,8460603,150
533,20002001,8460620,5
534,20002001,8460621,8
535,20002001,8460626,1
536,20002001,8460628,13
537,20002001,8460629,30
538,20002001,8460639,2
539,20002001,8460649,1346
540,20002001,8460654,11
541,20002001,8460661,0
542,20002001,8460663,61
543,20002001,8460664,0
544,20002001,8460707,7
545,20002001,8460711,0
546,20002001,8460719,649
547,20002001,8460720,2
548,20002001,8460733,2
549,20002001,8460735,1
550,20002001,8460742,4
551,20002001,8460743,2
552,20002001,8460751,0
553,20002001,8460770,0
554,20002001,8460782,0
555,20002001,8460836,0
556,20002001,8460846,0
557,20002001,8460912,0
558,20002001,8462033,0
559,20002001,8462034,0
560,20002001,8462035,710
561,20002001,8462036,1181
562,20002001,8462037,138
563,20002001,8462038,15
564,20002001,8462040,4
565,20002001,8462041,20
566,20002001,8462042,638
567,20002001,8462045,2
568,20002001,8462050,0
569,20002001,8462051,0
570,20002001,8462054,19
571,20002001,8462056,1
572,20002001,8462057,0
573,20002001,8462060,0
574,20002001,8462061,414
575,20002001,8462062,33
576,20002001,8462063,0
577,20002001,8462068,0
578,20002001,8462071,6
579,20002001,8462073,1
580,20002001,8462077,160
581,20002001,8462081,0
582,20002001,8462082,14
583,20002001,8462084,5
584,20002001,8462085,10
585,20002001,8462090,0
586,20002001,8462093,25
587,20002001,8462094,255
588,20002001,8462096,0
589,20002001,8462097,0
590,20002001,8462099,0
591,20002001,8462105,139
592,20002001,8462107,8
593,20002001,8462114,6
594,20002001,8462118,1050
595,20002001,8462121,0
596,20002001,8462126,1
597,20002001,8462129,692
598,20002001,8462135,105
599,20002001,8462148,0
600,20002001,8462159,1067
601,20002001,8462176,0
602,20002001,8462177,1
603,20002001,8462182,992
604,20002001,8462184,1
605,20002001,8462185,171
606,20002001,8462196,1
607,20002001,8462198,3
608,20002001,8462209,41
609,20002001,8462211,0
610,20002001,8462215,0
611,20002001,8462220,0
612,20002001,8462225,1
613,20002001,8462235,0
614,20002001,8462258,0
615,20002001,8462416,0
616,20002001,8462419,5
617,20002001,8462535,0
618,20002001,8462600,12
619,20002001,8462823,3
620,20002001,8463019,510
621,20002001,8463125,0
622,20002001,8463638,1
623,20002001,8464783,0
624,20002001,8464875,0
625,20002001,8464956,1
626,20002001,8464957,3
627,20002001,8464959,0
628,20002001,8464960,124
629,20002001,8464962,0
630,20002001,8464963,0
631,20002001,8464965,85
632,20002001,8464966,0
633,20002001,8464967,454
634,20002001,8464968,565
635,20002001,8464971,40
636,20002001,8464972,0
637,20002001,8464975,210
638,20002001,8464976,0
639,20002001,8464977,190
640,20002001,8464979,517
641,20002001,8464980,1
642,20002001,8464981,3
643,20002001,8464982,0
644,20002001,8464983,6
645,20002001,8464986,0
646,20002001,8464989,1478
647,20002001,8464990,0
648,20002001,8464991,0
649,20002001,8464994,0
650,20002001,8464998,454
651,20002001,8465002,26
652,20002001,8465003,8
653,20002001,8465005,0
654,20002001,8465009,0
655,20002001,8465012,0
656,20002001,8465016,2
657,20002001,8465018,627
658,20002001,8465020,2
659,20002001,8465024,1
660,20002001,8465025,3
661,20002001,8465026,3
662,20002001,8465034,0
663,20002001,8465035,0
664,20002001,8465042,0
665,20002001,8465050,849
666,20002001,8465056,520
667,20002001,8465058,1
668,20002001,8465059,0
669,20002001,8465061,0
670,20002001,8465090,13
671,20002001,8465122,0
672,20002001,8465125,3
673,20002001,8465165,0
674,20002001,8465166,4
675,20002001,8465167,0
676,20002001,8465168,0
677,20002001,8465175,506
678,20002001,8465178,34
679,20002001,8465179,296
680,20002001,8465180,7
681,20002001,8465184,0
682,20002001,8465185,0
683,20002001,8465189,726
684,20002001,8465192,1106
685,20002001,8465200,2
686,20002001,8465202,0
687,20002001,8465207,2
688,20002001,8465210,2
689,20002001,8465230,0
690,20002001,8465250,0
691,20002001,8465252,0
692,20002001,8465253,169
693,20002001,8465914,0
694,20002001,8465951,321
695,20002001,8465960,95
696,20002001,8465975,37
697,20002001,8465992,0
698,20002001,8466023,1
699,20002001,8466035,14
700,20002001,8466109,2
701,20002001,8466110,481
702,20002001,8466130,3
703,20002001,8466138,1651
704,20002001,8466139,1088
705,20002001,8466140,638
706,20002001,8466142,0
707,20002001,8466143,197
708,20002001,8466144,0
709,20002001,8466145,0
710,20002001,8466146,0
711,20002001,8466147,2
712,20002001,8466148,14
713,20002001,8466149,13
714,20002001,8466150,0
715,20002001,8466155,0
716,20002001,8466158,0
717,20002001,8466160,22
718,20002001,8466162,8
719,20002001,8466171,598
720,20002001,8466173,2
721,20002001,8466183,6
722,20002001,8466186,418
723,20002001,8466189,0
724,20002001,8466191,0
725,20002001,8466195,0
726,20002001,8466197,21
727,20002001,8466198,0
728,20002001,8466202,2
729,20002001,8466203,0
730,20002001,8466209,0
731,20002001,8466210,3
732,20002001,8466216,77
733,20002001,8466225,1
734,20002001,8466249,7
735,20002001,8466251,0
736,20002001,8466260,2
737,20002001,8466261,0
738,20002001,8466266,1098
739,20002001,8466282,0
740,20002001,8466285,0
741,20002001,8466288,0
742,20002001,8466292,0
743,20002001,8466304,28
744,20002001,8466309,0
745,20002001,8466316,15
746,20002001,8466333,0
747,20002001,8466343,308
748,20002001,8466353,0
749,20002001,8466357,335
750,20002001,8466368,3
751,20002001,8466371,974
752,20002001,8466378,48
753,20002001,8466392,133
754,20002001,8466393,0
755,20002001,8466403,17
756,20002001,8466421,97
757,20002001,8466437,2
758,20002001,8466443,0
759,20002001,8466971,11
760,20002001,8467055,834
761,20002001,8467096,0
762,20002001,8467097,0
763,20002001,8467304,3
764,20002001,8467325,3
765,20002001,8467329,1278
766,20002001,8467330,888
767,20002001,8467331,0
768,20002001,8467332,0
769,20002001,8467333,0
770,20002001,8467334,248
771,20002001,8467335,141
772,20002001,8467338,30
773,20002001,8467342,31
774,20002001,8467343,1
775,20002001,8467344,1
776,20002001,8467345,0
777,20002001,8467346,21
778,20002001,8467347,427
779,20002001,8467349,0
780,20002001,8467350,0
781,20002001,8467351,1010
782,20002001,8467352,0
783,20002001,8467353,431
784,20002001,8467354,1
785,20002001,8467359,17
786,20002001,8467362,18
787,20002001,8467369,0
788,20002001,8467370,709
789,20002001,8467371,11
790,20002001,8467374,0
791,20002001,8467383,1
792,20002001,8467386,299
793,20002001,8467389,955
794,20002001,8467393,0
795,20002001,8467397,7
796,20002001,8467412,7
797,20002001,8467416,786
798,20002001,8467418,340
799,20002001,8467423,122
800,20002001,8467425,0
801,20002001,8467439,0
802,20002001,8467445,0
803,20002001,8467450,0
804,20002001,8467463,0
805,20002001,8467468,184
806,20002001,8467496,2
807,20002001,8467500,0
808,20002001,8467510,0
809,20002001,8467519,0
810,20002001,8467534,6
811,20002001,8467541,39
812,20002001,8467543,39
813,20002001,8467580,0
814,20002001,8467658,12
815,20002001,8467682,0
816,20002001,8467732,0
817,20002001,8467831,1293
818,20002001,8467843,0
819,20002001,8467844,131
820,20002001,8467851,0
821,20002001,8467856,2
822,20002001,8467857,60
823,20002001,8467867,1
824,20002001,8467875,10
825,20002001,8467876,1020
826,20002001,8467878,989
827,20002001,8467880,25
828,20002001,8467881,1
829,20002001,8467883,0
830,20002001,8467884,2
831,20002001,8467885,4
832,20002001,8467889,0
833,20002001,8467896,0
834,20002001,8467899,40
835,20002001,8467901,0
836,20002001,8467915,0
837,20002001,8467920,1
838,20002001,8467926,0
839,20002001,8467949,1
840,20002001,8467956,4
841,20002001,8467958,0
842,20002001,8467964,372
843,20002001,8467974,1
844,20002001,8468000,0
845,20002001,8468103,0
846,20002001,8468105,0
847,20002001,8468120,82
848,20002001,8468172,7
849,20002001,8468189,16
850,20002001,8468427,0
851,20002001,8468432,885
852,20002001,8468434,139
853,20002001,8468438,115
854,20002001,8468443,1
855,20002001,8468444,0
856,20002001,8468448,0
857,20002001,8468449,195
858,20002001,8468463,1
859,20002001,8468483,3
860,20002001,8468484,0
861,20002001,8468486,3
862,20002001,8468508,13
863,20002001,8468523,2
864,20002001,8468534,0
865,20002001,8468541,0
866,20002001,8468561,1
867,20002001,8468577,0
868,20002001,8468578,101
869,20002001,8468598,0
870,20002001,8468612,2
871,20002001,8468613,1
872,20002001,8468615,6
873,20002001,8468654,0
874,20002001,8468660,0
875,20002001,8468694,3
876,20002001,8468712,0
877,20002001,8468717,0
878,20002001,8468743,12
879,20002001,8468748,0
880,20002001,8468751,94
881,20002001,8468753,207
882,20002001,8468789,56
883,20002001,8469143,0
884,20012002,8444919,0
885,20012002,8445000,1393
886,20012002,8445176,3
887,20012002,8445266,2
888,20012002,8445413,1
889,20012002,8445423,180
890,20012002,8445428,0
891,20012002,8445440,28
892,20012002,8445550,0
893,20012002,8445575,2
894,20012002,8445733,126
895,20012002,8445734,64
896,20012002,8445735,2058
897,20012002,8445739,0
898,20012002,8446003,866
899,20012002,8446053,0
900,20012002,8446133,8
901,20012002,8446165,1375
902,20012002,8446167,598
903,20012002,8446181,0
904,20012002,8446213,0
905,20012002,8446295,54
906,20012002,8446303,1690
907,20012002,8446305,178
908,20012002,8446309,0
909,20012002,8446407,2
910,20012002,8446408,76
911,20012002,8446423,9
912,20012002,8446454,22
913,20012002,8446485,756
914,20012002,8446494,1
915,20012002,8446675,24
916,20012002,8446788,1160
917,20012002,8446823,1100
918,20012002,8446826,0
919,20012002,8446830,635
920,20012002,8446847,170
921,20012002,8446951,1136
922,20012002,8447091,13
923,20012002,8447177,259
924,20012002,8447187,0
925,20012002,8447206,1241
926,20012002,8447364,24
927,20012002,8447386,0
928,20012002,8447477,0
929,20012002,8447690,0
930,20012002,8447958,1594
931,20012002,8447979,3
932,20012002,8447989,0
933,20012002,8448017,935
934,20012002,8448091,5
935,20012002,8448092,10
936,20012002,8448208,2
937,20012002,8448287,0
938,20012002,8448415,90
939,20012002,8448484,621
940,20012002,8448542,174
941,20012002,8448543,0
942,20012002,8448554,0
943,20012002,8448622,4
